                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4027,                 2.4703,                 1.6771,                0.42001,                0.33663,                 0.3466,                0.16485,                 1.3702,                 3.0107,                 2.2026,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.5476,                 2.0469,                 1.7885,                0.35516,                 0.4908,                0.31267,                0.11421,                 2.3484,                 3.2822,                 4.0209,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.6374,                 1.9954,                 1.8624,                0.07337,                0.46535,                0.08239,                0.03129,                 1.8066,                 3.4869,                 3.0399,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.6579,                 1.8805,                 1.8598,                 0.5421,                0.45545,                0.44644,                0.20132,                 1.7573,                 2.4114,                   2.72,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6106,                 1.8039,                 1.8618,                0.22325,                0.39555,                 0.2032,                0.06491,                 2.4924,                 2.5246,                 3.1463,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5352,                 1.6805,                 1.7555,                0.66244,                0.77228,                0.74719,                0.28076,                 1.7512,                 1.7665,                 2.5309,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5748,                 1.6976,                 1.7744,                 0.5884,                0.47525,                0.52045,                0.21387,                 1.7308,                 2.3598,                 2.6265,               0.001901,               0.001901,               0.001901
                      8,                 1.5347,                 1.5572,                 1.7653,                0.79539,                0.76238,                0.85042,                 0.4604,                 1.5251,                 1.4655,                 2.2802,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4816,                 1.4971,                 1.7238,                0.81922,                0.85249,                0.88421,                0.43666,                 1.5524,                 1.2629,                 2.2632,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4518,                   1.47,                 1.6826,                 0.9246,                0.84987,                0.92015,                0.43007,                 1.6104,                 1.2735,                 2.4331,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4835,                 1.4751,                 1.7097,                0.89207,                0.81839,                0.92656,                0.49769,                    1.4,                 1.2269,                 2.0912,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4492,                 1.4487,                 1.6851,                0.90593,                0.85816,                0.94789,                0.51347,                 1.3272,                 1.1134,                 2.0798,               0.001802,               0.001802,               0.001802
                     13,                 1.4348,                 1.4307,                  1.703,                0.92012,                0.79832,                0.94464,                0.56902,                 1.2347,                 1.1469,                 1.9681,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4213,                 1.3516,                 1.6545,                0.79947,                0.62376,                0.78933,                0.40754,                 1.4805,                  1.629,                 2.2493,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4262,                 1.3821,                 1.6767,                0.81635,                0.81188,                0.87997,                0.49162,                 1.3815,                 1.1869,                 2.0954,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3769,                 1.3027,                 1.6312,                0.46069,                0.56436,                0.41874,                0.17416,                 2.3077,                 1.9244,                 2.8062,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4112,                  1.321,                   1.64,                0.86901,                0.77228,                0.87911,                 0.5072,                 1.2289,                 1.1223,                 2.0019,               0.001703,               0.001703,               0.001703
